date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:10	84638/84638	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2007:19:09%20GMT	https://qqgalaxyca.com/id-ID/Home	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Home.html	(from )
14:19:11	80/80	---MCZ	200	added ('OK')	text/plain	etag:%221d83d8b9cedace5%22	https://qqgalaxyca.com/robots.txt		(from )
14:19:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Sep%202022%2007:19:10%20GMT	http://qqgalaxyca.com/Content/Web/common/images/logo.png	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/Content/Web/common/images/logo.1.delayed	(from https://qqgalaxyca.com/id-ID/Home)
14:19:11	33305/33305	---M--	200	added ('OK')	image/png	etag:%22d28012a4fcad81:0%22	https://qqgalaxyca.com/Content/Web/common/images/logo.png	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/Content/Web/common/images/logo.png	(from https://qqgalaxyca.com/id-ID/Home)
14:19:11	7032/7032	---M--	200	added ('OK')	image/gif	etag:%220c9ae9843ad71:0%22	https://qqgalaxyca.com/Content/Web/common/images/wait_load.gif	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/Content/Web/common/images/wait_load.gif	(from https://qqgalaxyca.com/id-ID/Home)
14:19:12	81833/81833	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2007:19:10%20GMT	https://qqgalaxyca.com/id-ID/Member/Forgotpassword	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Member/Forgotpassword.html	(from https://qqgalaxyca.com/id-ID/Home)
14:19:12	109206/109206	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2007:19:10%20GMT	https://qqgalaxyca.com/id-ID/Member/Register	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Member/Register.html	(from https://qqgalaxyca.com/id-ID/Home)
14:19:12	927/927	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2007:19:11%20GMT	https://qqgalaxyca.com/id-ID/Home/Announcement	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Home/Announcement.html	(from https://qqgalaxyca.com/id-ID/Home)
14:19:12	275/275	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Sep%202022%2007:19:11%20GMT	https://qqgalaxyca.com/id-ID/Home/ChangeDeviceToMobile	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Home/ChangeDeviceToMobile	(from https://qqgalaxyca.com/id-ID/Home)
14:19:13	4447/4447	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Sep%202022%2007:19:11%20GMT	https://qqgalaxyca.com/id-ID/Help/RulesSportsbook	C:/Users/LENOVO%204/Music/qqgalaxy/qqgalaxyca.com/id-ID/Help/RulesSportsbook.html	(from https://qqgalaxyca.com/id-ID/Home)
